time,similarity,gateways,collaborators
2019-05-05 23:21:32,0.907,8,6
2019-05-05 23:21:36,0.9420000000000001,8,6
2019-05-05 23:21:39,0.988,9,6
2019-05-05 23:21:42,0.9590000000000001,9,6
2019-05-05 23:21:46,0.978,8,6
2019-05-05 23:21:49,0.98,8,6
2019-05-05 23:21:52,0.9940000000000001,7,6
2019-05-05 23:21:55,0.95,8,6
2019-05-05 23:21:58,0.987,8,6
2019-05-05 23:22:01,0.914,9,6
2019-05-05 23:22:07,0.9540000000000001,9,6
2019-05-05 23:22:11,0.945,9,6
2019-05-05 23:22:14,0.9259999999999999,9,6
2019-05-05 23:22:18,0.98,9,6
2019-05-05 23:22:21,0.927,9,6
2019-05-05 23:22:24,0.889,9,6
2019-05-05 23:22:28,0.948,9,6
2019-05-05 23:22:32,0.878,9,6
2019-05-05 23:22:36,0.992,7,6
2019-05-05 23:22:39,0.9309999999999999,7,6
2019-05-05 23:23:02,0.995,6,6
2019-05-05 23:23:06,0.92,8,6
2019-05-05 23:23:09,0.9690000000000001,8,6
2019-05-05 23:23:12,0.9329999999999999,8,6
2019-05-05 23:23:16,0.929,7,6
2019-05-05 23:23:19,0.997,6,6
2019-05-05 23:23:22,0.8809999999999999,9,6
2019-05-05 23:23:25,0.9259999999999999,6,6
2019-05-05 23:23:28,0.9329999999999999,9,6
2019-05-05 23:23:31,0.9390000000000001,9,6
2019-05-05 23:23:37,0.94,6,6
2019-05-05 23:23:41,0.997,4,6
2019-05-05 23:23:44,0.94,8,6
2019-05-05 23:23:48,0.9620000000000001,9,6
2019-05-05 23:23:51,0.993,8,6
2019-05-05 23:23:54,0.972,9,6
2019-05-05 23:23:58,0.956,9,6
2019-05-05 23:24:02,0.9129999999999999,9,6
2019-05-05 23:24:06,0.93,6,6
2019-05-05 23:24:09,0.965,9,6
2019-05-05 23:24:32,0.924,9,6
2019-05-05 23:24:36,0.89,8,6
2019-05-05 23:24:39,0.9570000000000001,8,6
2019-05-05 23:24:42,0.9329999999999999,7,6
2019-05-05 23:24:46,0.945,8,6
2019-05-05 23:24:49,0.95,9,6
2019-05-05 23:24:52,0.895,7,6
2019-05-05 23:24:55,0.91,6,6
2019-05-05 23:24:58,0.9570000000000001,8,6
2019-05-05 23:25:01,0.9420000000000001,9,6
2019-05-05 23:25:07,0.92,5,6
2019-05-05 23:25:11,0.998,4,6
2019-05-05 23:25:14,0.927,8,6
2019-05-05 23:25:18,0.961,8,6
2019-05-05 23:25:21,0.998,7,6
2019-05-05 23:25:24,0.953,8,6
2019-05-05 23:25:28,0.958,8,6
2019-05-05 23:25:32,0.919,8,6
2019-05-05 23:25:36,0.9940000000000001,4,6
2019-05-05 23:25:39,0.9109999999999999,7,6
2019-05-05 23:26:02,0.9059999999999999,6,6
2019-05-05 23:26:06,0.9259999999999999,8,6
2019-05-05 23:26:09,0.9540000000000001,9,6
2019-05-05 23:26:12,0.956,10,6
2019-05-05 23:26:16,0.941,8,6
2019-05-05 23:26:19,0.846,9,6
2019-05-05 23:26:22,0.9179999999999999,8,6
2019-05-05 23:26:25,0.8390000000000001,9,6
2019-05-05 23:26:28,0.9,10,6
2019-05-05 23:26:31,0.9129999999999999,8,6
2019-05-05 23:26:37,0.917,7,6
2019-05-05 23:26:41,0.927,4,6
2019-05-05 23:26:44,0.932,7,6
2019-05-05 23:26:48,0.9440000000000001,7,6
2019-05-05 23:26:51,0.9740000000000001,8,6
2019-05-05 23:26:55,0.855,9,6
2019-05-05 23:26:58,0.89,8,6
2019-05-05 23:27:02,0.968,6,6
2019-05-05 23:27:06,0.914,5,6
2019-05-05 23:27:09,0.853,7,6
2019-05-05 23:27:32,0.96,7,6
2019-05-05 23:27:36,0.9159999999999999,8,6
2019-05-05 23:27:39,1.0,6,6
2019-05-05 23:27:42,0.973,9,6
2019-05-05 23:27:46,0.948,10,6
2019-05-05 23:27:49,0.763,10,6
2019-05-05 23:27:52,0.857,10,6
2019-05-05 23:27:55,0.9159999999999999,9,6
2019-05-05 23:27:58,0.868,9,6
2019-05-05 23:28:01,0.902,8,6
2019-05-05 23:28:07,0.8959999999999999,7,6
2019-05-05 23:28:11,0.882,5,6
2019-05-05 23:28:14,0.99,6,6
2019-05-05 23:28:18,0.971,8,6
2019-05-05 23:28:21,0.8059999999999999,7,6
